timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 03:38:08.052, NVIDIA Thor, 1 %, [N/A], [N/A], 45
2026/02/05 03:38:09.054, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:38:10.061, NVIDIA Thor, 7 %, [N/A], [N/A], 46
2026/02/05 03:38:11.062, NVIDIA Thor, 6 %, [N/A], [N/A], 46
2026/02/05 03:38:12.064, NVIDIA Thor, 98 %, [N/A], [N/A], 47
2026/02/05 03:38:13.067, NVIDIA Thor, 6 %, [N/A], [N/A], 46
2026/02/05 03:38:14.069, NVIDIA Thor, 0 %, [N/A], [N/A], 46
2026/02/05 03:38:15.070, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:16.075, NVIDIA Thor, 1 %, [N/A], [N/A], 46
2026/02/05 03:38:17.077, NVIDIA Thor, 2 %, [N/A], [N/A], 46
2026/02/05 03:38:18.079, NVIDIA Thor, 92 %, [N/A], [N/A], 47
2026/02/05 03:38:19.085, NVIDIA Thor, 87 %, [N/A], [N/A], 47
2026/02/05 03:38:20.087, NVIDIA Thor, 15 %, [N/A], [N/A], 46
2026/02/05 03:38:21.091, NVIDIA Thor, 15 %, [N/A], [N/A], 46
2026/02/05 03:38:22.092, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:23.095, NVIDIA Thor, 2 %, [N/A], [N/A], 46
2026/02/05 03:38:24.097, NVIDIA Thor, 0 %, [N/A], [N/A], 46
2026/02/05 03:38:25.098, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:26.100, NVIDIA Thor, 9 %, [N/A], [N/A], 46
2026/02/05 03:38:27.102, NVIDIA Thor, 74 %, [N/A], [N/A], 47
2026/02/05 03:38:28.104, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:29.106, NVIDIA Thor, 8 %, [N/A], [N/A], 46
2026/02/05 03:38:30.108, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:31.111, NVIDIA Thor, 2 %, [N/A], [N/A], 47
2026/02/05 03:38:32.113, NVIDIA Thor, 79 %, [N/A], [N/A], 47
2026/02/05 03:38:33.115, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:34.117, NVIDIA Thor, 1 %, [N/A], [N/A], 47
2026/02/05 03:38:35.119, NVIDIA Thor, 17 %, [N/A], [N/A], 46
2026/02/05 03:38:36.120, NVIDIA Thor, 86 %, [N/A], [N/A], 47
2026/02/05 03:38:37.122, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:38.125, NVIDIA Thor, 2 %, [N/A], [N/A], 46
2026/02/05 03:38:39.126, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:40.129, NVIDIA Thor, 6 %, [N/A], [N/A], 47
2026/02/05 03:38:41.131, NVIDIA Thor, 1 %, [N/A], [N/A], 46
2026/02/05 03:38:42.133, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:43.139, NVIDIA Thor, 4 %, [N/A], [N/A], 47
2026/02/05 03:38:44.141, NVIDIA Thor, 2 %, [N/A], [N/A], 46
2026/02/05 03:38:45.143, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:46.150, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:47.152, NVIDIA Thor, 1 %, [N/A], [N/A], 47
2026/02/05 03:38:48.154, NVIDIA Thor, 0 %, [N/A], [N/A], 46
2026/02/05 03:38:49.155, NVIDIA Thor, 4 %, [N/A], [N/A], 46
2026/02/05 03:38:50.158, NVIDIA Thor, 8 %, [N/A], [N/A], 46
2026/02/05 03:38:51.160, NVIDIA Thor, 4 %, [N/A], [N/A], 46
2026/02/05 03:38:52.162, NVIDIA Thor, 96 %, [N/A], [N/A], 47
2026/02/05 03:38:53.169, NVIDIA Thor, 98 %, [N/A], [N/A], 48
2026/02/05 03:38:54.173, NVIDIA Thor, 73 %, [N/A], [N/A], 48
2026/02/05 03:38:55.174, NVIDIA Thor, 6 %, [N/A], [N/A], 47
2026/02/05 03:38:56.176, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:38:57.179, NVIDIA Thor, 13 %, [N/A], [N/A], 47
2026/02/05 03:38:58.181, NVIDIA Thor, 0 %, [N/A], [N/A], 46
2026/02/05 03:38:59.192, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:39:00.194, NVIDIA Thor, 5 %, [N/A], [N/A], 47
2026/02/05 03:39:01.197, NVIDIA Thor, 17 %, [N/A], [N/A], 47
2026/02/05 03:39:02.205, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:39:03.209, NVIDIA Thor, 97 %, [N/A], [N/A], 48
2026/02/05 03:39:04.211, NVIDIA Thor, 6 %, [N/A], [N/A], 46
2026/02/05 03:39:05.213, NVIDIA Thor, 1 %, [N/A], [N/A], 47
2026/02/05 03:39:06.214, NVIDIA Thor, 86 %, [N/A], [N/A], 47
